date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum
2015-01-01,16.3,21.3,12.0,68,8.9,6.6,66,0.0,10.17
2015-01-02,15.2,17.2,14.2,83,11.2,7.0,73,4.2,4.91
2015-01-03,15.6,17.9,14.0,84,9.0,5.1,312,0.1,4.59
2015-01-04,14.4,19.1,10.9,78,13.5,10.2,317,0.0,12.68
2015-01-05,14.3,20.7,9.6,74,27.0,18.7,302,0.0,14.72
2015-01-06,15.1,20.6,10.5,75,21.7,12.7,303,0.0,12.46
2015-01-07,13.8,18.1,10.0,79,11.3,6.9,342,0.0,8.16
2015-01-08,13.0,19.6,6.9,80,9.4,6.9,322,0.0,14.2
2015-01-09,12.4,18.7,6.3,83,9.4,6.4,335,0.0,14.3
2015-01-10,11.9,18.1,7.4,81,13.8,9.4,302,0.0,14.77
2015-01-11,11.7,18.1,6.9,84,11.8,8.4,331,0.0,13.54
2015-01-12,11.3,17.7,6.0,87,9.7,4.7,84,0.0,12.18
2015-01-13,11.2,17.6,6.6,87,12.2,8.3,130,0.0,11.58
2015-01-14,12.9,16.8,10.1,85,19.7,12.1,120,4.1,11.35
2015-01-15,12.0,18.3,7.7,84,8.3,5.6,329,0.0,12.63
2015-01-16,13.3,19.5,7.7,78,9.3,7.2,314,0.0,14.28
2015-01-17,13.8,20.3,8.1,79,9.9,7.9,310,0.0,15.27
2015-01-18,13.7,20.4,7.7,76,8.7,6.9,317,0.0,15.75
2015-01-19,13.1,19.7,6.2,75,8.3,5.6,339,0.0,15.86
2015-01-20,12.7,19.2,6.3,79,12.4,8.5,120,0.0,15.52
2015-01-21,12.6,16.3,9.9,81,17.0,11.7,104,3.8,8.35
2015-01-22,12.8,15.6,11.2,87,14.1,9.9,101,17.0,7.1
2015-01-23,14.1,17.9,11.1,83,9.6,5.9,353,0.0,7.75
2015-01-24,14.4,17.4,10.9,80,11.8,8.2,297,0.0,9.12
2015-01-25,13.7,17.5,9.2,75,9.2,6.8,308,0.0,12.55
2015-01-26,13.3,18.1,8.1,74,9.0,6.4,348,0.0,12.09
2015-01-27,12.9,17.7,8.9,69,15.1,10.4,319,0.0,15.44
2015-01-28,11.4,17.2,6.9,74,15.1,11.6,305,0.0,16.67
2015-01-29,10.9,17.8,4.8,68,16.8,10.2,305,0.0,16.97
2015-01-30,11.7,18.7,5.4,66,18.7,12.0,302,0.0,17.22
2015-01-31,13.1,19.9,7.7,65,16.0,11.8,298,0.0,16.42
2015-02-01,13.8,20.7,7.0,74,9.9,8.2,106,0.0,13.2
2015-02-02,15.8,21.7,11.0,75,21.0,14.7,111,1.2,13.83
2015-02-03,17.0,21.9,13.3,78,19.5,11.8,97,13.2,11.61
2015-02-04,13.9,19.9,10.0,86,14.6,10.7,304,0.0,14.48
2015-02-05,14.1,20.5,9.2,76,13.5,11.1,302,0.0,17.97
2015-02-06,13.5,20.7,7.1,72,9.2,5.9,349,0.0,17.96
2015-02-07,14.8,22.1,7.8,69,8.7,5.8,41,0.0,17.65
2015-02-08,15.3,22.3,9.8,73,9.0,6.5,344,2.1,15.36
2015-02-09,15.8,23.1,10.0,71,14.1,9.7,324,0.0,18.09
2015-02-10,15.1,22.1,9.5,67,14.5,10.3,314,0.0,18.71
2015-02-11,14.8,22.0,7.9,64,9.4,7.7,311,0.0,18.22
2015-02-12,15.2,22.1,8.6,69,13.3,8.5,317,0.0,18.69
2015-02-13,16.7,24.3,9.7,63,16.6,10.5,296,0.0,18.72
2015-02-14,18.8,26.5,11.4,63,9.4,6.3,9,0.0,18.45
2015-02-15,18.3,25.4,11.2,71,7.9,4.9,23,0.0,18.84
2015-02-16,19.8,26.2,13.9,70,21.9,14.0,121,0.0,18.13
2015-02-17,20.4,26.5,15.8,74,15.7,10.8,101,1.6,17.77
2015-02-18,19.7,26.1,15.6,77,21.3,7.2,91,12.0,17.54
2015-02-19,20.1,26.7,14.4,78,25.1,11.9,104,1.6,17.01
2015-02-20,21.2,27.0,17.0,74,18.7,10.6,100,0.0,18.36
2015-02-21,20.6,26.5,15.0,75,17.8,11.3,319,0.0,19.1
2015-02-22,20.6,27.1,15.4,69,21.5,15.9,303,0.0,19.7
2015-02-23,20.2,26.4,13.5,77,9.5,6.7,341,0.0,18.59
2015-02-24,20.9,27.2,14.3,79,12.2,7.8,116,0.1,13.74
2015-02-25,21.4,27.2,16.8,79,14.3,10.5,102,5.2,14.25
2015-02-26,18.7,24.5,13.7,69,11.3,7.5,328,0.0,18.75
2015-02-27,17.0,23.6,12.1,68,12.6,9.0,356,0.0,19.15
2015-02-28,18.2,25.4,11.4,56,13.5,9.4,25,0.2,20.31
2015-03-01,17.1,19.3,16.1,83,30.8,20.8,119,22.9,4.49
2015-03-02,16.3,19.5,14.4,93,28.8,15.7,133,22.8,5.35
2015-03-03,15.7,19.6,12.6,86,9.4,5.7,326,1.0,14.88
2015-03-04,15.2,21.6,9.7,72,15.9,9.6,311,0.0,20.91
2015-03-05,16.5,23.7,9.0,70,9.4,5.6,7,0.0,21.41
2015-03-06,18.2,24.9,12.6,70,10.8,7.3,346,0.0,19.93
2015-03-07,18.3,25.5,11.7,76,11.3,6.8,48,10.5,20.17
2015-03-08,18.3,24.0,14.2,79,18.8,10.6,112,0.9,19.48
2015-03-09,16.6,22.4,11.8,70,16.1,11.8,338,3.9,22.61
2015-03-10,16.1,23.1,9.6,69,13.8,10.6,313,0.0,22.84
2015-03-11,17.4,24.7,10.6,70,11.5,9.2,312,0.0,22.26
2015-03-12,18.5,26.5,10.1,67,10.0,8.6,330,0.0,21.92
2015-03-13,18.9,25.9,13.9,76,10.2,5.9,22,2.9,16.88
2015-03-14,20.0,26.1,14.3,79,13.0,8.2,168,4.1,15.96
2015-03-15,18.2,22.5,16.0,88,19.0,12.3,131,20.6,12.06
2015-03-16,18.2,22.7,15.2,87,19.6,11.7,121,6.7,11.34
2015-03-17,19.3,25.1,14.2,76,17.7,11.7,315,0.0,21.82
2015-03-18,18.8,24.7,13.6,70,18.6,13.2,298,0.0,22.92
2015-03-19,19.2,26.3,12.2,69,11.2,8.1,311,0.0,23.69
2015-03-20,20.3,27.8,12.4,67,11.0,9.0,322,0.0,23.63
2015-03-21,22.0,29.2,14.8,69,10.3,7.4,331,0.0,23.27
2015-03-22,23.2,30.2,16.8,63,18.3,11.5,306,0.0,23.39
2015-03-23,24.0,31.1,17.6,62,14.9,10.6,314,0.0,23.72
2015-03-24,24.2,32.2,15.6,64,10.9,7.0,341,0.0,23.98
2015-03-25,25.2,32.5,17.2,61,10.0,6.4,66,0.0,23.33
2015-03-26,26.7,33.6,20.2,58,8.9,5.3,351,0.0,22.87
2015-03-27,27.3,33.8,21.8,56,11.6,7.3,338,0.0,22.96
2015-03-28,25.5,34.1,16.4,52,8.9,6.1,3,0.0,24.8
2015-03-29,25.7,32.2,20.7,52,20.1,13.6,119,0.4,15.51
2015-03-30,22.2,27.1,19.5,75,24.5,17.5,110,5.1,16.71
2015-03-31,22.9,28.0,17.4,70,14.2,8.1,99,0.1,20.26
2015-04-01,24.3,30.8,17.9,66,15.4,6.9,80,0.6,19.88
2015-04-02,26.5,33.3,19.2,56,14.9,9.1,124,0.0,24.0
2015-04-03,23.5,30.1,19.1,72,15.2,9.2,150,10.8,19.44
2015-04-04,20.8,25.1,18.6,83,13.0,5.4,120,17.8,12.48
2015-04-05,22.4,28.5,15.5,68,8.9,5.1,30,0.0,23.12
2015-04-06,23.8,30.0,16.2,58,9.9,6.9,337,0.0,24.57
2015-04-07,22.3,27.7,16.9,67,10.9,6.0,36,5.5,21.92
2015-04-08,23.5,30.0,16.6,62,9.7,6.7,345,0.3,23.45
2015-04-09,24.0,31.0,17.0,57,14.9,10.9,311,0.0,26.07
2015-04-10,25.4,33.0,17.7,51,14.1,10.1,313,0.0,26.01
2015-04-11,26.1,34.1,18.2,49,9.4,5.0,333,0.1,24.1
2015-04-12,24.4,29.2,20.2,56,15.8,8.0,136,0.0,16.29
2015-04-13,23.6,29.2,18.9,70,17.1,10.5,95,7.1,22.53
2015-04-14,24.2,29.7,19.1,70,13.7,9.3,98,0.6,22.38
2015-04-15,25.5,31.6,19.3,63,16.5,8.4,107,0.0,23.68
2015-04-16,26.1,31.4,20.5,62,11.9,7.6,57,0.0,23.47
2015-04-17,27.4,34.9,19.7,56,18.5,10.4,310,0.0,25.74
2015-04-18,29.6,37.1,21.0,46,12.4,8.8,311,0.0,24.71
2015-04-19,31.3,39.4,21.2,39,12.1,6.7,184,0.0,26.32
2015-04-20,31.5,38.7,24.6,38,16.1,11.1,116,0.1,23.74
2015-04-21,31.0,38.6,22.4,36,19.3,9.8,317,0.0,25.66
2015-04-22,30.3,38.2,22.1,27,18.1,11.8,304,0.0,27.44
2015-04-23,30.7,38.7,21.6,24,10.7,7.4,344,0.0,26.01
2015-04-24,31.4,39.3,22.4,27,10.2,7.2,57,0.0,26.43
2015-04-25,29.8,37.0,23.5,36,25.6,16.4,112,0.3,26.16
2015-04-26,28.6,34.4,23.2,49,24.4,17.8,108,0.0,26.02
2015-04-27,29.6,36.5,23.8,50,21.1,14.5,115,0.9,25.79
2015-04-28,29.9,37.2,24.1,50,18.8,11.2,98,3.9,25.87
2015-04-29,29.9,36.6,23.2,46,14.9,8.9,100,0.0,26.28
