date,blh_mean,blh_min,blh_max,blh_night,wind_mean,calm_frac
2015-01-01,180.2,30.0,580.0,80.0,6.62,0.167
2015-01-02,241.5,20.0,690.0,88.2,6.97,0.125
2015-01-03,204.0,20.0,565.0,87.3,5.1,0.625
2015-01-04,404.4,70.0,1135.0,111.8,10.18,0.0
2015-01-05,480.6,160.0,825.0,293.6,18.67,0.0
2015-01-06,505.6,60.0,1420.0,202.3,12.74,0.0
2015-01-07,344.4,10.0,1235.0,28.6,6.85,0.292
2015-01-08,278.5,20.0,1050.0,29.5,6.86,0.125
2015-01-09,200.8,15.0,830.0,33.2,6.4,0.25
2015-01-10,217.3,50.0,630.0,58.6,9.44,0.0
2015-01-11,226.5,40.0,690.0,64.1,8.41,0.0
2015-01-12,139.8,10.0,575.0,27.3,4.69,0.583
2015-01-13,182.5,30.0,550.0,53.6,8.27,0.042
2015-01-14,364.2,30.0,880.0,172.7,12.06,0.0
2015-01-15,213.3,15.0,830.0,46.8,5.62,0.333
2015-01-16,290.8,60.0,1150.0,78.2,7.2,0.125
2015-01-17,246.7,30.0,920.0,51.4,7.85,0.0
2015-01-18,251.2,15.0,940.0,37.3,6.95,0.042
2015-01-19,234.4,10.0,905.0,19.5,5.56,0.375
2015-01-20,291.7,15.0,910.0,63.2,8.49,0.083
2015-01-21,313.5,135.0,660.0,190.0,11.66,0.0
2015-01-22,267.3,75.0,480.0,136.8,9.88,0.0
2015-01-23,302.1,110.0,845.0,155.9,5.95,0.333
2015-01-24,330.2,60.0,1020.0,94.5,8.25,0.0
2015-01-25,377.3,20.0,1200.0,79.1,6.78,0.208
2015-01-26,305.6,35.0,1180.0,71.4,6.44,0.083
2015-01-27,413.5,100.0,1325.0,122.7,10.45,0.0
2015-01-28,403.8,65.0,1150.0,157.7,11.58,0.0
2015-01-29,356.7,60.0,1160.0,76.8,10.16,0.0
2015-01-30,381.2,75.0,1165.0,91.8,11.97,0.0
2015-01-31,308.1,20.0,920.0,106.8,11.84,0.0
2015-02-01,227.1,25.0,830.0,49.1,8.16,0.0
2015-02-02,432.3,100.0,940.0,209.5,14.66,0.0
2015-02-03,486.5,75.0,1230.0,288.6,11.79,0.0
2015-02-04,314.6,35.0,915.0,105.0,10.74,0.0
